variable,dt,value
ue,2012-01-01,1966
ue,2012-02-01,2538
ue,2012-03-01,2436
ue,2012-04-01,2375
ue,2012-05-01,2082
ue,2012-06-01,2304
ue,2012-07-01,2299
ue,2012-08-01,2642
ue,2012-09-01,2683
ue,2012-10-01,2212
ue,2012-11-01,1942
ue,2012-12-01,1745
ue,2013-01-01,1849
ue,2013-02-01,2545
ue,2013-03-01,2197
ue,2013-04-01,2332
ue,2013-05-01,2286
ue,2013-06-01,2199
ue,2013-07-01,2369
ue,2013-08-01,2588
ue,2013-09-01,2410
ue,2013-10-01,1885
ue,2013-11-01,2098
ue,2013-12-01,1790
ue,2014-01-01,1817
ue,2014-02-01,2212
ue,2014-03-01,2316
ue,2014-04-01,2383
ue,2014-05-01,2083
ue,2014-06-01,2057
ue,2014-07-01,2003
ue,2014-08-01,2529
ue,2014-09-01,2477
ue,2014-10-01,2255
ue,2014-11-01,1776
ue,2014-12-01,1753
ue,2015-01-01,1543
ue,2015-02-01,1965
ue,2015-03-01,2044
ue,2015-04-01,2431
ue,2015-05-01,1850
ue,2015-06-01,2027
ue,2015-07-01,2118
ue,2015-08-01,2218
ue,2015-09-01,2256
ue,2015-10-01,1955
ue,2015-11-01,1738
ue,2015-12-01,1738
ue,2016-01-01,1594
ue,2016-02-01,1669
ue,2016-03-01,1865
ue,2016-04-01,2145
ue,2016-05-01,1810
ue,2016-06-01,1916
ue,2016-07-01,1922
ue,2016-08-01,1949
ue,2016-09-01,2511
ue,2016-10-01,1944
ue,2016-11-01,1801
ue,2016-12-01,1530
ue,2017-01-01,1658
ue,2017-02-01,2299
ue,2017-03-01,1901
ue,2017-04-01,1998
ue,2017-05-01,1735
ue,2017-06-01,1838
ue,2017-07-01,2044
ue,2017-08-01,1904
ue,2017-09-01,2488
ue,2017-10-01,1821
ue,2017-11-01,1581
ue,2017-12-01,1500
ue,2018-01-01,1425
ue,2018-02-01,2112
ue,2018-03-01,1862
ue,2018-04-01,1864
ue,2018-05-01,1558
ue,2018-06-01,1606
ue,2018-07-01,1786
ue,2018-08-01,2144
ue,2018-09-01,1962
ue,2018-10-01,1661
ue,2018-11-01,1501
ue,2018-12-01,1378
ue,2019-01-01,1434
ue,2019-02-01,2071
ue,2019-03-01,1770
ue,2019-04-01,1704
ue,2019-05-01,1555
ue,2019-06-01,1513
ue,2019-07-01,1704
ue,2019-08-01,2005
ue,2019-09-01,1932
ue,2019-10-01,1402
ue,2019-11-01,1440
ue,2019-12-01,1465
ue,2020-01-01,1480
ue,2020-02-01,1716
ue,2020-03-01,1440
ue,2020-04-01,1576
ue,2020-05-01,7584
ue,2020-06-01,7495
ue,2020-07-01,5286
ue,2020-08-01,4791
ue,2020-09-01,3563
eu,2001-01-01,2392
eu,2001-02-01,1853
eu,2001-03-01,1625
eu,2001-04-01,1556
eu,2001-05-01,1616
eu,2001-06-01,2072
eu,2001-07-01,1866
eu,2001-08-01,2091
eu,2001-09-01,1668
eu,2001-10-01,1870
eu,2001-11-01,2288
eu,2001-12-01,1743
eu,2002-01-01,2838
eu,2002-02-01,2093
eu,2002-03-01,1724
eu,2002-04-01,1683
eu,2002-05-01,1749
eu,2002-06-01,2018
eu,2002-07-01,1985
eu,2002-08-01,2072
eu,2002-09-01,1717
eu,2002-10-01,1860
eu,2002-11-01,2244
eu,2002-12-01,1688
eu,2003-01-01,2671
eu,2003-02-01,1769
eu,2003-03-01,1776
eu,2003-04-01,1658
eu,2003-05-01,1927
eu,2003-06-01,1996
eu,2003-07-01,1951
eu,2003-08-01,2171
eu,2003-09-01,1786
eu,2003-10-01,1735
eu,2003-11-01,1803
eu,2003-12-01,1756
eu,2004-01-01,2321
eu,2004-02-01,1696
eu,2004-03-01,1657
eu,2004-04-01,1603
eu,2004-05-01,1604
eu,2004-06-01,1777
eu,2004-07-01,2137
eu,2004-08-01,1858
eu,2004-09-01,1928
eu,2004-10-01,1705
eu,2004-11-01,1742
eu,2004-12-01,1727
eu,2005-01-01,2366
eu,2005-02-01,1765
eu,2005-03-01,1528
eu,2005-04-01,1546
eu,2005-05-01,1500
eu,2005-06-01,2020
eu,2005-07-01,1909
eu,2005-08-01,1740
eu,2005-09-01,1894
eu,2005-10-01,1542
eu,2005-11-01,1568
eu,2005-12-01,1661
eu,2006-01-01,2134
eu,2006-02-01,1834
eu,2006-03-01,1534
eu,2006-04-01,1618
eu,2006-05-01,1534
eu,2006-06-01,1907
eu,2006-07-01,2008
eu,2006-08-01,1678
eu,2006-09-01,1817
eu,2006-10-01,1544
eu,2006-11-01,1694
eu,2006-12-01,1804
eu,2007-01-01,2459
eu,2007-02-01,1997
eu,2007-03-01,1538
eu,2007-04-01,1481
eu,2007-05-01,1501
eu,2007-06-01,1891
eu,2007-07-01,1902
eu,2007-08-01,1778
eu,2007-09-01,1732
eu,2007-10-01,1595
eu,2007-11-01,1603
eu,2007-12-01,1897
eu,2008-01-01,2335
eu,2008-02-01,1980
eu,2008-03-01,1860
eu,2008-04-01,1573
eu,2008-05-01,1985
eu,2008-06-01,1903
